snapshot_date,week,conference,rank,team,abbr,played,wins,losses,ties,goals_for,goals_against,goal_difference,points,source
2026-06-12,Week 1,Eastern Conference,1,Tampa Bay Rowdies,TBR,12,8,0,4,21,7,14,28,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,2,Louisville City FC,LOU,13,6,5,2,22,20,2,20,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,3,Indy Eleven,IND,10,5,2,3,16,11,5,18,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,4,Detroit City FC,DET,12,5,4,3,13,11,2,18,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,5,Charleston Battery,CHS,11,5,4,2,16,15,1,17,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,6,Pittsburgh Riverhounds SC,PIT,10,5,4,1,14,13,1,16,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,7,Miami FC,MIA,12,4,4,4,15,19,-4,16,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,8,Hartford Athletic,HFD,10,3,2,5,9,10,-1,14,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,9,Rhode Island FC,RI,10,3,4,3,17,14,3,12,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,10,Birmingham Legion FC,BHM,10,2,3,5,11,12,-1,11,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,11,Loudoun United FC,LDN,10,1,3,6,12,17,-5,9,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,12,Brooklyn FC,BKN,11,2,7,2,11,20,-9,8,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Eastern Conference,13,Sporting JAX,JAX,12,0,9,3,13,28,-15,3,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,1,San Antonio FC,SA,12,5,1,6,18,14,4,21,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,2,Orange County SC,OC,11,5,2,4,14,10,4,19,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,3,FC Tulsa,TUL,10,4,2,4,13,9,4,16,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,4,Oakland Roots SC,OAK,11,4,3,4,18,16,2,16,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,5,Phoenix Rising FC,PHX,12,4,4,4,15,14,1,16,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,6,El Paso Locomotive FC,ELP,11,4,4,3,22,21,1,15,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,7,New Mexico United,NM,10,4,4,2,11,12,-1,14,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,8,Colorado Springs Switchbacks FC,COS,10,3,3,4,18,17,1,13,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,9,Sacramento Republic FC,SAC,10,3,3,4,12,11,1,13,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,10,Las Vegas Lights FC,LV,11,3,5,3,16,19,-3,12,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,11,Lexington SC,LEX,11,3,5,3,15,15,0,12,https://www.uslchampionship.com/league-standings
2026-06-12,Week 1,Western Conference,12,Monterey Bay FC,MB,12,3,7,2,13,20,-7,11,https://www.uslchampionship.com/league-standings
